id,capteur_id,valeur,unite,date_heure
1,1,110.5,Ug/m3,2025-04-18 14:00:00
2,2,75.3,Kg/m3,2025-05-12 10:30:00
3,1,0.0,oo,2025-06-13 15:48:00
4,1,0.0,ii,2025-06-13 15:54:00
5,1,0.0,p,2025-06-13 16:10:00
6,1,0.0,ppm,2025-06-13 16:10:00
7,1,0.0,ppm,2025-06-13 16:10:00
8,1,0.0,ooooo,2025-06-13 16:21:00
9,1,0.0,test,2025-06-13 16:27:00
10,1,0.0,ppb,2025-06-13 16:32:00
11,1,0.0,,2025-06-13 16:44:00
12,1,0.0,,2025-06-13 16:47:00
13,1,0.0,,2025-06-13 16:49:00
14,1,0.0,,2025-06-13 17:21:00
15,1,0.0,u,2025-06-13 17:24:00
16,1,0.0,test1,2025-06-13 19:22:00
17,1,0.0,test2,2025-06-13 19:22:00
18,1,0.0,test3,2025-06-13 19:35:00
